X,Y,OBJECTID,HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
496947.3604,6948184.2334,3847,5472,300629,Azalea - Barberry - 65,AZALEA ST,Barberry St,496947.4,6948184.2,-27.590266,152.969069,INALA,2 - Intermediate,Y,Easy,Easy,Easy,2019/03/21 00:00:00+00
496635.4137,6948117.1364,3848,5473,,Azalea - Eugenia - 64,AZALEA ST,,496635.4,6948117.1,-27.590871,152.965908,INALA,3 - Regular with seat,N,Hard,Easy,Easy,
496232.7717,6948055.7638,3849,5474,300627,Azalea - Tecoma - 63,AZALEA ST,Tecoma St,496232.8,6948055.8,-27.591424,152.961828,INALA,2 - Intermediate,Y,Easy,Easy,Medium,2016/06/07 00:00:00+00
496230.4077,6948041.1416,3850,5475,300647,Azalea - Tecoma - 63,AZALEA ST,Tecoma st,496230.4,6948041.1,-27.591556,152.961804,INALA,4 - Regular,Y,Easy,Easy,Easy,2016/06/07 00:00:00+00
495830.866,6949029.51,3851,5476,,Archerfield Road - 71,ARCHERFIELD RD,,495830.9,6949029.5,-27.582632,152.957759,RICHLANDS,4 - Regular ,N,Hard,Hard,Hard,
495815.7674,6949022.748,3852,5477,,Archerfield Road - 71,ARCHERFIELD RD,,495815.8,6949022.8,-27.582693,152.957606,RICHLANDS,4 - Regular ,N,Hard,Hard,Hard,
496004.8976,6948046.0545,3853,5480,307492,McEwan Park,ARCHERFIELD RD,Azalea St,496004.9,6948046.1,-27.591511,152.959519,INALA,4 - Regular,Y,Easy,Easy,Easy,2019/03/21 00:00:00+00
495989.2081,6948038.9601,3854,5481,307493,McEwan Park,ARCHERFIELD RD,Azalea St,495989.2,6948039,-27.591575,152.95936,RICHLANDS,4 - Regular,Y,Medium,Easy,Medium,2018/02/01 00:00:00+00
495926.3007,6948458.7522,3855,5482,,Littleton Road,ARCHERFIELD RD,,495926.3,6948458.8,-27.587785,152.958724,RICHLANDS,4 - Regular ,N,Hard,Easy,Easy,
495951.8771,6948414.6748,3856,5483,307489,Littleton Road,ARCHERFIELD RD,Brentford Rd,495951.9,6948414.7,-27.588183,152.958983,RICHLANDS,4 - Regular,Y,Medium,Easy,Hard,
497474.3252,6949380.5425,3857,5486,300671,Rosemary North - 71,Rosemary St,Begonia St,497474.3,6949380.5,-27.579467,152.974411,INALA,2 - Intermediate,Y,Easy,Easy,Medium,2016/04/26 00:00:00+00
497405.8221,6949400.5772,3858,5487,,Begonia - Rosemary - 72,BEGONIA ST,,497405.8,6949400.6,-27.579286,152.973717,INALA,3 - Regular with seat,N,Hard,Easy,Easy,
497118.0251,6949326.9625,3859,5488,300637,Begonia - Yulan - 71A,Begonia St,Yulan St,497118,6949327,-27.57995,152.970801,INALA,3 - Regular with seat,Y,Easy,Easy,Easy,2016/06/07 00:00:00+00
497138.4461,6948527.7729,3860,5489,,Balsa - Biota - 67,BALSA ST,,497138.4,6948527.8,-27.587165,152.971006,INALA,2 - Intermediate,N,Hard,Easy,Easy,
497016.2247,6949084.7983,3861,5490,,Balsa - Apricot - 70,BALSA ST,,497016.2,6949084.8,-27.582136,152.969769,INALA,3 - Regular with seat,N,Hard,Easy,Easy,
497107.8565,6949337.2616,3862,5491,300636,Begonia - Yulan - 71A,Begonia St,Yulan St,497107.9,6949337.3,-27.579857,152.970698,INALA,4 - Regular,Y,Easy,Easy,Easy,2016/06/07 00:00:00+00
